app_id,shadow_cnt,live_cnt,diff
DX-021,1,1,0
DX-022,2,2,0
DX-028,1,1,0
DX-039,1,1,0
DX-043,438,438,0
DX-044,1,1,0
DX-045,1,1,0
DX-046,1,1,0
DX-047,1,1,0
DX-048,1,1,0
DX-051,10,10,0
DX-056,2,2,0
DX-058,1,1,0
DX-059,11,11,0
DX-061,1,1,0
DX-062,1,1,0
DX-063,1,1,0
DX-064,1,1,0
DX-065,1,1,0
DX-066,1,1,0
DX-067,1,1,0
DX-068,1,1,0
DX-069,1,1,0
DX-070,1,1,0
DX-073,1,1,0
DX-075,1,1,0
DX-076,2,2,0
DX-077,1,1,0
DX-095,10,10,0
DX-098,24,24,0
DX-100,1,1,0
DX-101,1,1,0
DX-104,1,1,0
DX-106,46,46,0
DX-107,1,1,0
DX-108,1,1,0
DX-109,1,1,0
DX-111,1,1,0
DX-112,1,1,0
DX-113,1,1,0
DX-115,10,10,0
DX-116,1,1,0
DX-117,1,1,0
DX-119,1,1,0
DX-120,1,1,0
DX-121,1,1,0
DX-122,1,1,0
DX-123,1,1,0
DX-125,153,153,0
DX-127,1,1,0
DX-128,3,3,0
DX-130,1,1,0
DX-135,1,1,0
DX-140,1,1,0
DX-141,1,1,0
DX-142,1,1,0
DX-143,1,1,0
DX-144,1,1,0
DX-145,3,3,0
DX-146,110,110,0
DX-147,6,6,0
DX-148,1,1,0
DX-150,1,1,0
DX-152,2,2,0
DX-153,1,1,0
DX-158,1,1,0
DX-161,1,1,0
DX-999,1,1,0
HDXY-002,1,1,0
HDXY-008,1,1,0
HX-000,1,1,0
HX-034,4,4,0
HX-037,9,9,0
HX-042,3,3,0
HX-045,7,7,0
HX-049,2,2,0
HX-054,4,4,0
HX-055,2,2,0
HX-057,62,62,0
HX-058,2,2,0
HX-059,132,132,0
HX-060,84,84,0
HX-065,2,2,0
HX-066,2,2,0
HX-069,2,2,0
HX-070,2,2,0
HX-072,1,1,0
HXXN-002,1,1,0
JHA-030,1,1,0
JHA-058,185,185,0
JHA-068,24,24,0
JHA-078,44,44,0
JHA-1001,1,1,0
JHA-1006,1,1,0
JHA-1010,1,1,0
JHA-1017,9,9,0
JHA-1018,1,1,0
JHA-1020,1,1,0
JHA-1025,1,1,0
JHA-1026,1,1,0
JHA-1027,1,1,0
JHA-1028,2,2,0
JHA-1030,1,1,0
