app_id,shadow_cnt,live_cnt,diff
DX-017,24,24,0
DX-018,3,3,0
DX-019,24,24,0
DX-020,11,11,0
DX-028,24,24,0
DX-039,1,1,0
DX-041,6,6,0
DX-044,24,24,0
DX-045,24,24,0
DX-046,19,19,0
DX-047,24,24,0
DX-048,24,24,0
DX-056,2,2,0
DX-058,3,3,0
DX-059,81,81,0
DX-061,24,24,0
DX-062,24,24,0
DX-063,24,24,0
DX-064,24,24,0
DX-065,24,24,0
DX-066,24,24,0
DX-067,24,24,0
DX-068,24,24,0
DX-069,24,24,0
DX-070,24,24,0
DX-073,24,24,0
DX-075,24,24,0
DX-076,46,46,0
DX-077,2,2,0
DX-098,86,86,0
DX-100,2,2,0
DX-101,24,24,0
DX-104,15,15,0
DX-107,24,24,0
DX-108,24,24,0
DX-109,24,24,0
DX-111,24,24,0
DX-112,24,24,0
DX-113,24,24,0
DX-115,127,127,0
DX-116,24,24,0
DX-117,24,24,0
DX-119,1,1,0
DX-120,24,24,0
DX-121,24,24,0
DX-122,24,24,0
DX-123,20,20,0
DX-127,24,24,0
DX-128,56,56,0
DX-130,14,14,0
DX-135,24,24,0
DX-141,19,19,0
DX-142,24,24,0
DX-143,24,24,0
DX-148,7,7,0
DX-150,24,24,0
DX-152,21,21,0
DX-153,24,24,0
DX-158,24,24,0
DX-161,20,20,0
DX-999,24,24,0
HDXY-002,22,22,0
HDXY-008,13,13,0
HX-000,11,11,0
HX-034,34,34,0
HX-055,8,8,0
HX-058,19,19,0
HX-070,31,31,0
HX-072,11,11,0
HXXN-002,12,12,0
JHA-030,1,1,0
JHA-1010,24,24,0
JHA-1017,108,108,0
JHA-1018,24,24,0
JHA-1020,24,24,0
JHA-1028,2,2,0
JHA-1030,24,24,0
JHA-1040,55,55,0
JHA-1041,1,1,0
JHA-107,5,5,0
JHA-116,31,31,0
JHA-125,17,17,0
JHA-127,11,11,0
JHA-130,11,11,0
JHA-155,33,33,0
JHA-156,24,24,0
JHA-158,34,34,0
JHA-159,51,51,0
JHA-163,7,7,0
JHA-2001,3,3,0
JHA-2003,1424,1424,0
JHA-209,11,11,0
JHA-2164,16,16,0
JHA-3001,24,24,0
JHA-505,281,281,0
JHG-009,24,24,0
JHG-035,4,4,0
JHG-053,2,2,0
JHG-054,2,2,0
JHG-061,156,156,0
JHG-063,23,23,0
JHG-067,17,17,0
JHG-068,2,2,0
JHG-072,38,38,0
JHG-081,3,3,0
JHG-083,5,5,0
JHG-090,148,148,0
JHG-117,3,3,0
JHGXN-096,185,185,0
JHGXN-100,5,5,0
JHGXN-107,22,22,0
JW-032,24,24,0
JW-048,6,6,0
SEO-009,24,24,0
SEO-015,24,24,0
SEO-018,24,24,0
SEO-026,48,48,0
SEO-027,61,61,0
SEO-029,68,68,0
SEO-031,24,24,0
SEO-032,24,24,0
SEO-034,7,7,0
SEO-035,2,2,0
SEO-036,11,11,0
SF-105,66,66,0
SF-107,73,73,0
SF-109,16,16,0
SF-110,26,26,0
SF-113,40,40,0
SF-115,19,19,0
SF-116,40,40,0
SF-121,4,4,0
SF-123,3,3,0
SF-135,1,1,0
SF-138,77,77,0
SF-139,18,18,0
SF-14,73,73,0
SF-147,9,9,0
SF-148,10,10,0
SF-150,2,2,0
SF-163,2,2,0
SF-166,7,7,0
SF-168,24,24,0
SF-172,16,16,0
SF-18,9,9,0
SF-22,1,1,0
SF-23,20,20,0
SF-25,23,23,0
SF-26,22,22,0
SF-28,17,17,0
SF-34,13,13,0
SF-37,163,163,0
SF-46,55,55,0
SF-48,22,22,0
SF-82,20,20,0
SF-83,18,18,0
SF-87,2,2,0
SF-99,96,96,0
SF-991,24,24,0
SF-992,24,24,0
SF-997,25,25,0
SWZX-001,24,24,0
SWZX-002,16,16,0
TJ-001,36,36,0
TJ-003,24,24,0
TJ-005,24,24,0
TJ-007,24,24,0
TJ-009,24,24,0
TJ-011,48,48,0
TJ-012,24,24,0
TJ-013,24,24,0
TJ-014,24,24,0
TJ-015,24,24,0
TJ-017,24,24,0
TJ-019,24,24,0
TJ-020,24,24,0
TJ-021,24,24,0
TJ-022,24,24,0
TJ-023,24,24,0
TJ-024,24,24,0
TJ-025,24,24,0
TJ-026,24,24,0
TJ-027,24,24,0
TJ-028,24,24,0
TJ-034,24,24,0
TJ-035,24,24,0
TJ-036,24,24,0
TJ-037,24,24,0
TJ-038,24,24,0
TJ-039,24,24,0
TJ-040,24,24,0
TJ-041,24,24,0
TJ-044,24,24,0
TJ-045,24,24,0
TJ-046,24,24,0
TJ-047,24,24,0
TJ-048,24,24,0
TJ-049,24,24,0
TJ-050,24,24,0
TJ-051,24,24,0
TJ-053,24,24,0
TJ-054,24,24,0
TJ-055,24,24,0
TJ-060,24,24,0
TJ-062,24,24,0
TJ-063,91,91,0
TJ-066,24,24,0
TJ-069,24,24,0
TJ-072,207,207,0
TJ-073,24,24,0
TJ-075,24,24,0
TJ-076,24,24,0
TJ-079,24,24,0
TJ-081,24,24,0
TJ-082,24,24,0
TJ-083,24,24,0
TJ-084,24,24,0
TJ-085,7,7,0
TJ-086,70,70,0
TJ-088,24,24,0
TJ-092,24,24,0
TJ-093,24,24,0
TJ-095,24,24,0
TJ-096,24,24,0
TJ-097,24,24,0
TJ-098,24,24,0
TJ-104,24,24,0
TJ-109,24,24,0
TJ-111,24,24,0
TJ-112,24,24,0
TSPX-030,3,3,0
TSPX-033,5,5,0
TSPX-039,2,2,0
TSYH-003,31,31,0
TSYH-005,16,16,0
TSYH-007,23,23,0
WX-002,4,4,0
WYYL-001,198,198,0
WYYL-101,15,15,0
WYYL-103,24,24,0
WYYL-104,28,28,0
WYYL-303,7,7,0
XHWJ-004,8,8,0
YC-103,24,24,0
YC-104,26,26,0
YC-110,24,24,0
YC-117,24,24,0
YC-120,126,126,0
YC-129,45,45,0
YC-139,24,24,0
YC-150,4,4,0
YC-165,1,1,0
YC-195,220,220,0
YC-196,2,2,0
YC-198,24,24,0
YDWD-002,24,24,0
