app_id,shadow_cnt,live_cnt,diff
SF-77,10,10,0
SF-78,100,100,0
SF-79,240,240,0
SF-82,7,7,0
SF-83,14,14,0
SF-85,16,16,0
SF-86,39,39,0
SF-87,2,2,0
SF-88,17,17,0
SF-92,121,121,0
SF-991,1,1,0
SF-992,1,1,0
SF-997,1,1,0
TJ-004,1,1,0
TJ-042,3,3,0
TJ-075,1,1,0
TJ-109,1,1,0
TJ-111,1,1,0
TJ-112,1,1,0
TRFB-007,84,84,0
TRFB-009,1,1,0
TSPX-005,41,41,0
TSPX-014,31,31,0
TSPX-029,3,3,0
TSPX-031,13,13,0
TSPX-035,12,12,0
TSYH-003,2,2,0
TSYH-004,11,11,0
TSYH-008,1,1,0
TSYH-050,161,161,0
TSYH-051,20,20,0
WYYL-001,18,18,0
WYYL-104,1,1,0
Wm9Sx1Z2,1,1,0
YC-002&n939892=v932593,1,1,0
YC-002&n985447=v975497,1,1,0
"YC-002'""",1,1,0
"YC-002'""%2527%2522\\'\\""",1,1,0
YC-0029874985,1,1,0
YC-0029875883,1,1,0
YC-002A,2,2,0
YC-114,242,242,0
YC-120,7,7,0
YC-129,2,2,0
YC-140,4,4,0
YC-142,7,7,0
YC-145,5,5,0
YC-158,123,123,0
YC-172,24,24,0
YC-187,2,2,0
YC-189,15,15,0
YC-195,15,15,0
^(#$!@#$)(()))******,1,1,0
bxss.me,1,1,0
bxss.me/t/xss.html?%00,1,1,0
c:/windows/win.ini,1,1,0
com.qnmd.ajinm.fd0jbe,1,1,0
com.qnmd.ajinm.fl0jfa,1,1,0
com.qnmd.ajinm.kf0j3b,1,1,0
com.qnmd.ajinm.o0jo7,1,1,0
com.qnmd.ajinm.qs0joc,1,1,0
com.qnmd.ajinm.qz0j8q,1,1,0
com.qnmd.ajinm.xb0jym,1,1,0
com.qnmd.ajinm.xj0jrg,1,1,0
com.qnmd.ajinm.yd0jyl,1,1,0
expr 9000359721 - 951665,1,1,0
expr 9000787424 - 964559,1,1,0
file:///etc/passwd,1,1,0
http://bxss.me/t/fit.txt%3F.jpg,1,1,0
"if(now()=sysdate(),sleep(15),0)",1,1,0
response.write(9221214*9578131),1,1,0
response.write(9246873*9566549),1,1,0
smQGOWWU,1,1,0
